miliseconds,steering,throttle
1697213142.7529657,0.2,0.3
1697213142.7587364,0.2,0.3
1697213142.764295,0.2,0.3
1697213142.769792,0.2,0.3
1697213142.7751741,0.2,0.3
1697213142.7806745,0.2,0.3
1697213142.786169,0.2,0.3
1697213142.791606,0.2,0.3
1697213142.7970324,0.2,0.3
1697213142.8028877,0.2,0.3
1697213142.8084245,0.2,0.3
1697213142.8140712,0.2,0.3
1697213142.8206556,0.2,0.3
1697213142.8267422,0.2,0.3
1697213142.8326023,0.2,0.3
1697213142.8387296,0.2,0.3
1697213142.8444273,0.2,0.3
1697213142.8498185,0.2,0.3
1697213142.855217,0.2,0.3
1697213142.8606346,0.2,0.3
1697213142.8660681,0.2,0.3
1697213142.8717227,0.2,0.3
1697213142.8774753,0.2,0.3
1697213142.8836927,0.2,0.3
1697213142.8894498,0.2,0.3
1697213142.8955233,0.2,0.3
1697213142.901154,0.2,0.3
1697213142.9074411,0.2,0.3
1697213142.91292,0.2,0.3
1697213142.9192505,0.2,0.3
1697213142.9247353,0.2,0.3
1697213142.930997,0.2,0.3
1697213142.9370956,0.2,0.3
1697213142.9427297,0.2,0.3
1697213142.949376,0.2,0.3
1697213142.9554493,0.2,0.3
1697213142.9615932,0.2,0.3
1697213142.9672449,0.2,0.3
1697213142.9731903,0.2,0.3
1697213142.979077,0.2,0.3
1697213142.985118,0.2,0.3
1697213142.9908326,0.2,0.3
1697213142.9965923,0.2,0.3
1697213143.0031724,0.2,0.3
1697213143.0087273,0.2,0.3
1697213143.0142694,0.2,0.3
1697213143.0197992,0.2,0.3
1697213143.0252805,0.2,0.3
1697213143.0315263,0.2,0.3
1697213143.0369656,0.2,0.3
1697213143.0429602,0.2,0.3
1697213143.0488195,0.2,0.3
1697213143.054269,0.2,0.3
1697213143.060078,0.2,0.3
1697213143.0656624,0.2,0.3
1697213143.071587,0.2,0.3
1697213143.0774503,0.2,0.3
1697213143.0830379,0.2,0.3
1697213143.088447,0.2,0.3
1697213143.0938733,0.2,0.3
1697213143.0992932,0.2,0.3
1697213143.104849,0.2,0.3
1697213143.110305,0.2,0.3
1697213143.1157794,0.2,0.3
1697213143.1212747,0.2,0.3
1697213143.1268156,0.2,0.3
1697213143.1326387,0.2,0.3
1697213143.138198,0.2,0.3
1697213143.143748,0.2,0.3
1697213143.1492553,0.2,0.3
1697213143.154768,0.2,0.3
1697213143.1601884,0.2,0.3
1697213143.16561,0.2,0.3
1697213143.1711404,0.2,0.3
1697213143.1802592,0.2,0.3
1697213143.1873808,0.2,0.3
1697213143.1935477,0.2,0.3
1697213143.1997879,0.2,0.3
1697213143.2061617,0.2,0.3
1697213143.2148888,0.2,0.3
1697213143.221437,0.2,0.3
1697213143.2273836,0.2,0.3
1697213143.233184,0.2,0.3
1697213143.2393918,0.2,0.3
1697213143.247731,0.2,0.3
1697213143.2538927,0.2,0.3
1697213143.2603357,0.2,0.3
1697213143.2667036,0.2,0.3
1697213143.2733614,0.2,0.3
1697213143.2817507,0.2,0.3
1697213143.2878892,0.2,0.3
1697213143.2942553,0.2,0.3
1697213143.3002062,0.2,0.3
1697213143.3058438,0.2,0.3
1697213143.3136806,0.2,0.3
1697213143.320314,0.2,0.3
1697213143.3270988,0.2,0.3
1697213143.3325999,0.2,0.3
1697213143.3398788,0.2,0.3
1697213143.3486109,0.2,0.3
1697213143.355042,0.2,0.3
1697213143.3608913,0.2,0.3
1697213143.3676078,0.2,0.3
1697213143.3748593,0.2,0.3
1697213143.3840034,0.2,0.3
1697213143.39006,0.2,0.3
1697213143.397342,0.2,0.3
1697213143.4043846,0.2,0.3
1697213143.4136767,0.2,0.3
1697213143.4197412,0.2,0.3
1697213143.4259584,0.2,0.3
1697213143.4325492,0.2,0.3
1697213143.439101,0.2,0.3
1697213143.448274,0.2,0.3
1697213143.4548213,0.2,0.3
1697213143.46117,0.2,0.3
1697213143.467131,0.2,0.3
1697213143.4748392,0.2,0.3
1697213143.4827838,0.2,0.3
1697213143.4892132,0.2,0.3
1697213143.4958365,0.2,0.3
1697213143.502534,0.2,0.3
1697213143.510638,0.2,0.3
1697213143.5172098,0.2,0.3
1697213143.52322,0.2,0.3
1697213143.5291998,0.2,0.3
1697213143.5355797,0.2,0.3
1697213143.5434773,0.2,0.3
